action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,resultado,cor
Jump Shot,Jump Shot,184,20000047,33.8603,91,184,-118.1788,3,2,0,2000-01,30,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,39,Cesta,green
Layup Shot,Layup,219,20000047,34.0403,7,4,-118.2628,10,3,0,2000-01,13,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,42,Cesta,green
Jump Shot,Jump Shot,229,20000047,33.9113,150,133,-118.1198,8,3,0,2000-01,59,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,43,Cesta,green
Layup Shot,Layup,289,20000047,34.0403,-4,4,-118.2738,3,3,0,2000-01,21,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,46,Cesta,green
Slam Dunk Shot,Dunk,300,20000047,34.0353,1,9,-118.2688,2,3,0,2000-01,38,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,48,Cesta,green
Jump Shot,Jump Shot,398,20000047,33.9243,121,120,-118.1488,4,4,0,2000-01,55,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,49,Cesta,green
Driving Layup Shot,Layup,132,20000049,34.0443,0,0,-118.2698,8,2,0,2000-01,40,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-05,LAL vs. LAC,LAC,58,Cesta,green
Slam Dunk Shot,Dunk,190,20000049,34.0443,0,0,-118.2698,4,2,0,2000-01,5,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-05,LAL vs. LAC,LAC,59,Cesta,green
Layup Shot,Layup,232,20000049,33.9953,22,49,-118.2478,0,2,0,2000-01,47,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-05,LAL vs. LAC,LAC,62,Cesta,green
Running Jump Shot,Jump Shot,369,20000049,34.0183,121,26,-118.1488,0,3,0,2000-01,1,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-05,LAL vs. LAC,LAC,65,Cesta,green
Driving Layup Shot,Layup,33,20000058,34.0443,0,0,-118.2698,7,1,0,2000-01,53,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,HOU,69,Cesta,green
Driving Dunk Shot,Dunk,41,20000058,34.0443,0,0,-118.2698,7,1,0,2000-01,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,HOU,70,Cesta,green
Driving Layup Shot,Layup,131,20000058,34.0443,0,0,-118.2698,7,2,0,2000-01,56,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,HOU,73,Cesta,green
Jump Shot,Jump Shot,215,20000058,33.8543,-119,190,-118.3888,11,3,0,2000-01,2,22,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,HOU,76,Cesta,green
Jump Shot,Jump Shot,368,20000058,33.9113,30,133,-118.2398,5,4,0,2000-01,1,13,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,HOU,81,Cesta,green
Jump Shot,Jump Shot,39,20000068,33.9173,132,127,-118.1378,6,1,0,2000-01,36,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,87,Cesta,green
Jump Shot,Jump Shot,44,20000068,33.8563,-29,188,-118.2988,5,1,0,2000-01,54,19,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,88,Cesta,green
Jump Shot,Jump Shot,70,20000068,33.9683,140,76,-118.1298,2,1,0,2000-01,24,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,89,Cesta,green
Turnaround Jump Shot,Jump Shot,74,20000068,34.0443,140,0,-118.1298,1,1,0,2000-01,48,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,90,Cesta,green
Jump Shot,Jump Shot,79,20000068,33.8883,-1,156,-118.2708,1,1,0,2000-01,25,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,91,Cesta,green
Jump Shot,Jump Shot,82,20000068,34.0403,-151,4,-118.4208,0,1,0,2000-01,47,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,92,Cesta,green
Jump Shot,Jump Shot,192,20000068,33.8843,-94,160,-118.3638,3,2,0,2000-01,15,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,97,Cesta,green
Jump Shot,Jump Shot,217,20000068,34.0443,140,0,-118.1298,0,2,0,2000-01,48,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,99,Cesta,green
Slam Dunk Shot,Dunk,253,20000068,34.0443,-1,0,-118.2708,7,3,0,2000-01,53,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,102,Cesta,green
Jump Shot,Jump Shot,262,20000068,33.9113,119,133,-118.1508,6,3,0,2000-01,40,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,103,Cesta,green
Turnaround Jump Shot,Jump Shot,370,20000068,34.0183,-166,26,-118.4358,6,4,0,2000-01,25,16,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,110,Cesta,green
Slam Dunk Shot,Dunk,111,20000098,34.0443,0,0,-118.2698,3,1,0,2000-01,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,118,Cesta,green
Driving Layup Shot,Layup,130,20000098,34.0443,0,0,-118.2698,0,1,0,2000-01,44,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,119,Cesta,green
Jump Shot,Jump Shot,170,20000098,33.8863,-88,158,-118.3578,8,2,0,2000-01,50,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,121,Cesta,green
Driving Dunk Shot,Dunk,174,20000098,34.0443,0,0,-118.2698,8,2,0,2000-01,18,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,122,Cesta,green
Running Hook Shot,Hook Shot,236,20000098,34.0443,0,0,-118.2698,0,2,0,2000-01,30,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,124,Cesta,green
Jump Shot,Jump Shot,274,20000098,34.0523,155,-8,-118.1148,8,3,0,2000-01,38,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,127,Cesta,green
Jump Shot,Jump Shot,307,20000098,34.0313,-155,13,-118.4248,5,3,0,2000-01,18,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,128,Cesta,green
Jump Shot,Jump Shot,322,20000098,33.9383,-48,106,-118.3178,3,3,0,2000-01,33,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,132,Cesta,green
Driving Dunk Shot,Dunk,468,20000098,34.0443,0,0,-118.2698,3,4,0,2000-01,28,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,139,Cesta,green
Running Jump Shot,Jump Shot,488,20000098,33.9853,9,59,-118.2608,1,4,0,2000-01,38,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,140,Cesta,green
Alley Oop Dunk Shot,Dunk,77,20000108,34.0443,0,0,-118.2698,3,1,0,2000-01,8,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,145,Cesta,green
Jump Shot,Jump Shot,86,20000108,34.0483,129,-4,-118.1408,2,1,0,2000-01,25,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,146,Cesta,green
Jump Shot,Jump Shot,93,20000108,33.9473,-98,97,-118.3678,0,1,0,2000-01,48,13,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,147,Cesta,green
Running Jump Shot,Jump Shot,129,20000108,33.8693,100,175,-118.1698,9,2,0,2000-01,7,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,151,Cesta,green
Driving Dunk Shot,Dunk,352,20000108,34.0443,0,0,-118.2698,0,3,0,2000-01,37,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,160,Cesta,green
Layup Shot,Layup,368,20000108,34.0443,0,0,-118.2698,10,4,0,2000-01,28,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,162,Cesta,green
Slam Dunk Shot,Dunk,371,20000108,34.0443,0,0,-118.2698,10,4,0,2000-01,11,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,163,Cesta,green
Jump Shot,Jump Shot,2,20000124,33.8503,98,194,-118.1718,11,1,0,2000-01,42,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,166,Cesta,green
Jump Shot,Jump Shot,70,20000124,34.0023,-37,42,-118.3068,2,1,0,2000-01,47,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,171,Cesta,green
Jump Shot,Jump Shot,139,20000124,33.8653,113,179,-118.1568,8,2,0,2000-01,13,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,174,Cesta,green
Jump Shot,Jump Shot,150,20000124,34.0463,169,-2,-118.1008,6,2,0,2000-01,27,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,175,Cesta,green
Jump Shot,Jump Shot,478,20000124,33.9453,-10,99,-118.2798,2,5,0,2000-01,5,9,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,186,Cesta,green
Jump Shot,Jump Shot,498,20000124,33.8443,-73,200,-118.3428,0,5,0,2000-01,24,21,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,188,Cesta,green
Jump Shot,Jump Shot,18,20000140,33.8603,-77,184,-118.3468,10,1,0,2000-01,5,19,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,189,Cesta,green
Alley Oop Dunk Shot,Dunk,73,20000140,34.0443,0,0,-118.2698,4,1,0,2000-01,9,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,195,Cesta,green
Jump Shot,Jump Shot,158,20000140,33.8843,115,160,-118.1548,6,2,0,2000-01,51,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,198,Cesta,green
Jump Shot,Jump Shot,285,20000140,33.8943,-4,150,-118.2738,6,3,0,2000-01,24,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,204,Cesta,green
Jump Shot,Jump Shot,297,20000140,34.0353,-185,9,-118.4548,5,3,0,2000-01,1,18,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,205,Cesta,green
Reverse Dunk Shot,Dunk,398,20000140,34.0443,0,0,-118.2698,7,4,0,2000-01,10,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,209,Cesta,green
Jump Shot,Jump Shot,448,20000140,33.9623,37,82,-118.2328,1,4,0,2000-01,18,8,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,212,Cesta,green
Slam Dunk Shot,Dunk,83,20000147,34.0443,0,0,-118.2698,3,1,0,2000-01,10,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,216,Cesta,green
Slam Dunk Shot,Dunk,153,20000147,34.0443,0,0,-118.2698,7,2,0,2000-01,24,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,218,Cesta,green
Slam Dunk Shot,Dunk,224,20000147,34.0443,0,0,-118.2698,11,3,0,2000-01,24,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,221,Cesta,green
Layup Shot,Layup,229,20000147,34.0443,0,0,-118.2698,10,3,0,2000-01,19,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,222,Cesta,green
Jump Shot,Jump Shot,251,20000147,33.9033,142,141,-118.1278,7,3,0,2000-01,22,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,224,Cesta,green
Running Jump Shot,Jump Shot,276,20000147,33.9473,-60,97,-118.3298,4,3,0,2000-01,55,11,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,226,Cesta,green
Running Jump Shot,Jump Shot,437,20000147,33.9683,-25,76,-118.2948,2,4,0,2000-01,20,8,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,233,Cesta,green
Jump Shot,Jump Shot,10,20000168,33.8963,-105,148,-118.3748,10,1,0,2000-01,5,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,236,Cesta,green
Driving Layup Shot,Layup,74,20000168,34.0443,0,0,-118.2698,2,1,0,2000-01,36,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,239,Cesta,green
Slam Dunk Shot,Dunk,84,20000168,34.0443,0,0,-118.2698,2,1,0,2000-01,8,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,241,Cesta,green
Alley Oop Dunk Shot,Dunk,121,20000168,34.0443,0,0,-118.2698,10,2,0,2000-01,17,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,243,Cesta,green
Jump Shot,Jump Shot,134,20000168,33.8733,-63,171,-118.3328,9,2,0,2000-01,16,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,244,Cesta,green
Alley Oop Dunk Shot,Dunk,192,20000168,34.0443,0,0,-118.2698,3,2,0,2000-01,34,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,245,Cesta,green
Jump Shot,Jump Shot,202,20000168,33.8693,64,175,-118.2058,2,2,0,2000-01,30,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,246,Cesta,green
Driving Dunk Shot,Dunk,241,20000168,34.0443,0,0,-118.2698,9,3,0,2000-01,52,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,247,Cesta,green
Driving Layup Shot,Layup,246,20000168,34.0443,0,0,-118.2698,9,3,0,2000-01,12,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,248,Cesta,green
Driving Layup Shot,Layup,333,20000168,34.0443,0,0,-118.2698,2,3,0,2000-01,0,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,253,Cesta,green
Layup Shot,Layup,342,20000168,34.0443,0,0,-118.2698,1,3,0,2000-01,26,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-22,LAL vs. GSW,GSW,254,Cesta,green
Running Jump Shot,Jump Shot,45,20000180,34.0463,-105,-2,-118.3748,7,1,0,2000-01,33,10,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,256,Cesta,green
Reverse Layup Shot,Layup,60,20000180,34.0443,0,0,-118.2698,5,1,0,2000-01,52,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,258,Cesta,green
Jump Shot,Jump Shot,83,20000180,33.9493,64,95,-118.2058,3,1,0,2000-01,56,11,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,259,Cesta,green
Jump Shot,Jump Shot,107,20000180,34.0423,-132,2,-118.4018,1,1,0,2000-01,4,13,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,261,Cesta,green
Dunk Shot,Dunk,252,20000180,34.0443,0,0,-118.2698,9,3,0,2000-01,45,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,263,Cesta,green
Layup Shot,Layup,279,20000180,34.0443,0,0,-118.2698,5,3,0,2000-01,58,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,266,Cesta,green
Jump Shot,Jump Shot,346,20000180,33.8693,28,175,-118.2418,0,3,0,2000-01,21,17,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,269,Cesta,green
Turnaround Jump Shot,Jump Shot,377,20000180,33.9553,28,89,-118.2418,9,4,0,2000-01,36,9,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,272,Cesta,green
Jump Shot,Jump Shot,395,20000180,33.8313,-84,213,-118.3538,7,4,0,2000-01,30,22,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,273,Cesta,green
Running Jump Shot,Jump Shot,418,20000180,33.9003,-119,144,-118.3888,5,4,0,2000-01,24,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,274,Cesta,green
Driving Layup Shot,Layup,47,20000198,34.0443,0,0,-118.2698,7,1,0,2000-01,14,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-27,LAL @ LAC,LAC,276,Cesta,green
Jump Shot,Jump Shot,155,20000198,33.9033,77,141,-118.1928,7,2,0,2000-01,18,16,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-27,LAL @ LAC,LAC,280,Cesta,green
Running Jump Shot,Jump Shot,161,20000198,33.9743,-6,70,-118.2758,6,2,0,2000-01,35,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-27,LAL @ LAC,LAC,281,Cesta,green
Driving Layup Shot,Layup,215,20000198,34.0443,0,0,-118.2698,2,2,0,2000-01,8,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-27,LAL @ LAC,LAC,283,Cesta,green
Layup Shot,Layup,218,20000198,34.0443,0,0,-118.2698,1,2,0,2000-01,39,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-27,LAL @ LAC,LAC,284,Cesta,green
Turnaround Jump Shot,Jump Shot,309,20000198,33.9663,-48,78,-118.3178,4,3,0,2000-01,53,9,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-27,LAL @ LAC,LAC,288,Cesta,green
Alley Oop Layup shot,Layup,325,20000198,34.0233,-56,21,-118.3258,2,3,0,2000-01,15,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-27,LAL @ LAC,LAC,290,Cesta,green
Jump Shot,Jump Shot,370,20000198,34.0333,201,11,-118.0688,11,4,0,2000-01,7,20,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-27,LAL @ LAC,LAC,292,Cesta,green
